Subject Code,Subject Description
MDM,*Med Learning Resources-Med
MDS,Medical Sciences
MGB,Management; Working Professional Bay Area
MGM,*Management
MGP,Management; Working Professional
MGT,Management
MGV,Management; Online
MHI,Health Informatics
MIB,Microbiology
MIC,Microbiology
MIS,*Miscellaneous
MMG,Microbiology & Molecular Genetics
MMI,Medical Microbiology
MPH,*Master of Public Health
MPM,Masters Preventive Veterinary Medicine
MPS,*Math & Physical Sci
MSA,Middle East/South Asian Std
MSC,Military Science
MST,Medieval Studies
MUS,Music
MVM,*VM Medicine
MXA,*Mexican-American (Chicano)
NAC,*Nature and Culture
NAS,Native American Studies
NCM,*Med - Intrl: Clinic Nutr&Metab
NEB,*Neurobiology (Graduate Group)
NEM,Nematology
NEP,Nephrology
NES,*Near Eastern Studies
NEU,Neurology
NGG,*Nutrition Graduate Group
NMD,*Nutrition (Internal Medicine)
NOR,*Norwegian
NPB,"Neurobiology, Physiology, & Behavior"
NRS,Nursing
NSA,*No UCD Subject Area
NSC,Neuroscience
NSU,Neurosurgery
NUB,Nutritional Biology
NUS,*Neuroscience
NUT,Nutrition
NVS,*Naval Science
OBG,Obstetrics & Gynecology
OEH,*Med - Occupational &Envrn Hlth
OPT,Ophthalmology
ORI,*Orientation
ORL,*Oriental Languages & Civilztn
OSU,Orthopaedic Surgery
OTO,Otolaryngology
PAL,*Paleontology
PAS,Physician Assistant Studies
PBG,Population Biology
PBI,Plant Biology
PDE,*Program Development
PED,Pediatrics
PEN,*Political Econ of Natural Res
PER,Persian
PFS,Performance Studies
PGG,*Physiology Graduate Group
PHA,Medical Pharmacology & Toxicology
PHC,*Physiological Sciences-VetMed
PHE,*Physical Education
PHI,Philosophy
PHR,Population Health & Reproduction
PHS,*Physiology - Animal
PHY,Physics
PLB,Plant Biology
PLP,Plant Pathology
PLS,Plant Sciences
PMD,Pathology
PMI,"Pathology, Microbiology & Immunology"
PMN,*Pest Management
PMO,*Physical Med & Rehab - Med
PMR,Physical Medicine & Rehabilitation
POL,Political Science
POM,*Pomology
POP,*Population Studies
POR,Portuguese
PPH,*Plant Physiology
PPP,*Plant Protection & Pest Mangmt
PRA,*Park & Recreation Admin.
PSC,Psychology
PST,*Post Graduate Medicine
PSU,Plastic Surgery
PSY,Psychiatry
PTX,Pharmacology-Toxicology
PUH,*Public Health
PUL,Pulmonary Medicine
PUN,Punjabi
PVM,*Pathology-Veterinary Medicine
PZO,*Physiology Zoology
RAD,*Radiology (Radio Physics)-Med
RAL,Rheumatology & Allergy
RCM,*Rhetoric And Communication
RDI,Radiology-Diagnostic
REV,*Reproduction - Veterinary Med
REL,Study of Religion
RGE,*Radiology (General)-Medicine
RHM,*Rheumatology-Medicine
RMT,*Range Science
RNU,Radiology-Nuclear Medicine
RON,Radiation Oncology
RSC,*Resource Sciences
RST,Religious Studies
RTH,*Radiology (Therapeutic) - Med
RUS,Russian
RVM,*Radiological Sciences-Vet Med
SAF,Sustainable Agriculture & Food Systems
SAS,Science and Society
SCA,*Scandinavian
SCI,*Science Studies
SCS,*Social Science
SCW,*Social Welfare
SEA,*Southeast Asian
SIO,*Scripps Inst of Oceanography
SLV,*Slavic
SOC,Sociology
SOE,*Social Ecology
SPA,Spanish
SPE,*Speech
SPH,Public Health Sciences
SPN,*Soils & Plant Nutrition
SSC,Soil Science
SST,*Special Studies
STA,Statistics
STH,Social Theory & Comparative History
STP,*Short-Term Abroad Program
STS,Science & Technology Studies
SUB,*Subject A
SUR,Surgery
SVM,*Surgery-Veterinary Medicine
SWE,*Swedish
SWH,*Swahili
SWS,*Soil & Water Science
TAE,Agricultural & Environmental Technology
TCS,Technocultural Studies
THR,*Theatre
TRK,Turkish
TTP,Transportation Technology & Policy
TXC,Textiles & Clothing
URD,*Urdu
URO,Urology
UWP,University Writing Program
VCR,*Vegetable Crops
VEN,Viticulture & Enology
VET,School of Veterinary Medicine
VMB,Molecular Biosciences
VMD,*Veterinary Medicine
VME,Medicine & Epidemiology
VMI,*Vet Microbiology & Immunology
VPT,*Vet Pharmacology & Toxicology
VSR,Surgical & Radiological Sciences
VST,*Visual Studies
WAS,UC Davis Washington Center 
WDS,*Woodscience
WEL,*Welsh
WFC,"Wildlife, Fish & Conservation Biology"
WKL,*Work-Learn
WLD,Workload
WMS,Women's Studies
WSC,*Water Science
XXX,*Invalid Course Id
YYY,*Invalid Course Id
ZOO,*Zoology
